# Replicobol weekly entries data
# Format: project_code|week_start|days|updated_at
ACME-MIG|2026-04-27|5|20260730
ACME-MIG|2026-05-04|2|20260730
BETA-SUP|2026-05-04|2|20260730
GAMMA-OPS|2026-05-11|1|20260730
DELTA-UX|2026-05-11|1|20260730
EPSILON-QA|2026-05-11|1|20260730
ACME-MIG|2026-07-20|4|20260730
ACME-MIG|2026-07-27|3.5|20260731
BETA-SUP|2026-07-27|1.5|20260731
GAMMA-OPS|2026-08-03|3|20260730
EPSILON-QA|2026-08-03|0|20260730
GAMMA-OPS|2026-07-20|1|20260731
BETA-SUP|2026-06-22|1|20260731
GAMMA-OPS|2026-06-22|2|20260731
DELTA-UX|2026-06-22|2|20260731
